duration	zero_time	trial_type
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
0.26	0.25	S3-4 5mA
