duration	zero_time	trial_type
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
0.26	0.25	E'2-3 0.1mA
