duration	zero_time	trial_type
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
0.26	0.25	X'6-7 0.3mA
